transaction_id,user_id,date,transaction_type,category,amount,payment_mode,location,notes,year_month,month,day_of_week,is_weekend,amount_raw,currency,year,amount_idr
T8936,U112,2021-01-08,expense,tempat_tinggal,9707.0,bank_transfer,denpasar,bayar apartemen,2021-01,1.0,Friday,False,$9707,USD,2021,1388101.0
T11293,U017,2021-01-08,expense,hiburan,5052.0,bank_transfer,denpasar,beli tiket konser,2021-01,1.0,Friday,False,5052,INR,2021,9750.36
T0499,U070,2021-01-08,expense,makanan,8702.0,qris,jakarta,pesan shopeefood,2021-01,1.0,Friday,False,8702,INR,2021,16794.86
T12928,U012,2021-01-09,expense,makanan,5056.0,tunai,palembang,jajan minimarket,2021-01,1.0,Saturday,True,5056,INR,2021,9758.08
T7016,U145,2021-01-09,expense,tagihan,7391.0,tunai,yogyakarta,bayar WiFi,2021-01,1.0,Saturday,True,7391,INR,2021,14264.63
T4343,U059,2021-01-09,expense,transportasi,1437.0,bank_transfer,denpasar,naik grab,2021-01,1.0,Saturday,True,1437,INR,2021,2773.41
T8869,U102,2021-01-09,income,lainnya,74830.0,kartu,palembang,pengeluaran lainnya,2021-01,1.0,Saturday,True,₹74830,INR,2021,144421.9
T13646,U076,2021-01-10,income,lainnya,50568.0,ewallet,semarang,keperluan pribadi,2021-01,1.0,Sunday,True,₹50568,INR,2021,97596.24
T0446,U114,2021-01-10,expense,tempat_tinggal,4008.0,ewallet,unknown,bayar apartemen,2021-01,1.0,Sunday,True,₹4008,INR,2021,7735.44
T4337,U126,2021-01-10,expense,hiburan,1131.0,bank_transfer,medan,nonton bioskop,2021-01,1.0,Sunday,True,1131,INR,2021,2182.83
T5640,U035,2021-01-10,expense,tempat_tinggal,7583.0,qris,denpasar,bayar apartemen,2021-01,1.0,Sunday,True,₹7583,INR,2021,14635.19
T5814,U066,2021-01-10,expense,tagihan,6392.0,qris,medan,bayar air,2021-01,1.0,Sunday,True,6392,INR,2021,12336.56
T1222,U121,2021-01-11,expense,tagihan,8855.0,qris,surabaya,bayar pulsa,2021-01,1.0,Monday,False,₹8855,INR,2021,17090.15
T6321,U138,2021-01-11,expense,tempat_tinggal,29287.0,kartu,surabaya,bayar sewa rumah,2021-01,1.0,Monday,False,29287,INR,2021,56523.91
T6784,U022,2021-01-12,expense,makanan,8687.0,ewallet,bandung,ngopi di kafe,2021-01,1.0,Tuesday,False,8687,INR,2021,16765.91
T0381,U069,2021-01-12,expense,makanan,9425.0,qris,surabaya,pesan shopeefood,2021-01,1.0,Tuesday,False,9425,INR,2021,18190.25
T2179,U012,2021-01-12,income,freelance,30717.0,qris,semarang,project desain,2021-01,1.0,Tuesday,False,30717,INR,2021,59283.81
T3411,U068,2021-01-13,income,freelance,48604.0,qris,yogyakarta,jasa konsultasi,2021-01,1.0,Wednesday,False,48604,INR,2021,93805.72
T5788,U004,2021-01-13,expense,hiburan,2668.0,bank_transfer,denpasar,nonton bioskop,2021-01,1.0,Wednesday,False,₹2668,INR,2021,5149.24
T12375,U056,2021-01-14,income,investasi,68275.0,kartu,bandung,dividen investasi,2021-01,1.0,Thursday,False,₹68275,INR,2021,131770.75
T2694,U010,2021-01-14,expense,tempat_tinggal,27805.0,kartu,bandung,bayar apartemen,2021-01,1.0,Thursday,False,27805,INR,2021,53663.65
T9228,U060,2021-01-15,income,freelance,43245.0,kartu,denpasar,project desain,2021-01,1.0,Friday,False,43245,INR,2021,83462.85
T0819,U041,2021-01-16,expense,makanan,2681.0,kartu,denpasar,beli air minum,2021-01,1.0,Saturday,True,Rs.2681,INR,2021,5174.33
T8814,U087,2021-01-16,income,gaji,72704.0,tunai,balikpapan,bonus perusahaan,2021-01,1.0,Saturday,True,72704,INR,2021,140318.72
T2279,U113,2021-01-16,expense,tabungan,8747.0,ewallet,medan,menabung bulanan,2021-01,1.0,Saturday,True,8747,INR,2021,16881.71
T3758,U025,2021-01-17,expense,tagihan,1125.0,tunai,denpasar,bayar listrik,2021-01,1.0,Sunday,True,1125,INR,2021,2171.25
T1391,U123,2021-01-17,expense,tagihan,3532.0,bank_transfer,unknown,bayar air,2021-01,1.0,Sunday,True,₹3532,INR,2021,6816.76
T5882,U139,2021-01-17,income,bonus,37741.0,qris,bandung,transaksi,2021-01,1.0,Sunday,True,37741,INR,2021,72840.13
T4304,U144,2021-01-17,income,gaji,51541.0,tunai,yogyakarta,gaji bulanan,2021-01,1.0,Sunday,True,51541,INR,2021,99474.13
T2641,U062,2021-01-18,expense,tempat_tinggal,3300.0,qris,balikpapan,bayar sewa rumah,2021-01,1.0,Monday,False,3300,INR,2021,6369.0
T8082,U022,2021-01-18,expense,tempat_tinggal,9500.0,bank_transfer,unknown,bayar apartemen,2021-01,1.0,Monday,False,9500,INR,2021,18335.0
T7534,U095,2021-01-18,expense,makanan,2171.0,kartu,palembang,pesan shopeefood,2021-01,1.0,Monday,False,Rs.2171,INR,2021,4190.03
T4733,U063,2021-01-19,expense,lainnya,7401.0,tunai,surabaya,belanja kebutuhan,2021-01,1.0,Tuesday,False,7401,INR,2021,14283.93
T1363,U106,2021-01-19,expense,makanan,3973.0,bank_transfer,makassar,makan siang,2021-01,1.0,Tuesday,False,3973,INR,2021,7667.89
T0671,U064,2021-01-19,expense,makanan,1768.0,bank_transfer,bandung,makan malam,2021-01,1.0,Tuesday,False,1768,INR,2021,3412.24
T3007,U057,2021-01-20,income,lainnya,33910.0,kartu,unknown,keperluan pribadi,2021-01,1.0,Wednesday,False,33910,INR,2021,65446.3
T12349,U108,2021-01-20,expense,makanan,4322.0,ewallet,denpasar,pesan grabfood,2021-01,1.0,Wednesday,False,4322,INR,2021,8341.46
T10739,U146,2021-01-20,expense,makanan,8808.0,tunai,semarang,pesan gofood,2021-01,1.0,Wednesday,False,8808,INR,2021,16999.44
T9778,U031,2021-01-20,expense,makanan,201.0,kartu,balikpapan,makan di restoran,2021-01,1.0,Wednesday,False,201,INR,2021,387.93
T2430,U090,2021-01-20,expense,pendidikan,737.0,qris,makassar,pelatihan online,2021-01,1.0,Wednesday,False,₹737,INR,2021,1422.41
T8841,U101,2021-01-21,expense,transportasi,1902.0,bank_transfer,yogyakarta,bayar tol,2021-01,1.0,Thursday,False,1902,INR,2021,3670.86
T1723,U132,2021-01-21,income,bonus,61112.0,tunai,denpasar,transaksi,2021-01,1.0,Thursday,False,61112,INR,2021,117946.16
T0617,U046,2021-01-22,expense,makanan,1641.0,tunai,makassar,pesan grabfood,2021-01,1.0,Friday,False,1641,INR,2021,3167.13
T7300,U116,2021-01-23,expense,makanan,1735.0,qris,surabaya,ngopi di kafe,2021-01,1.0,Saturday,True,1735,INR,2021,3348.55
T0514,U045,2021-01-23,expense,hiburan,4327.0,bank_transfer,surabaya,langganan Netflix,2021-01,1.0,Saturday,True,4327,INR,2021,8351.11
T8203,U053,2021-01-23,expense,transportasi,4603.0,kartu,bandung,naik grab,2021-01,1.0,Saturday,True,4603,INR,2021,8883.79
T3706,U026,2021-01-23,expense,pendidikan,6915.0,bank_transfer,jakarta,les online,2021-01,1.0,Saturday,True,6915,INR,2021,13345.95
T4504,U054,2021-01-23,expense,transportasi,2143.0,tunai,medan,naik gojek,2021-01,1.0,Saturday,True,2143,INR,2021,4135.99
T9407,U072,2021-01-23,expense,transportasi,3681.0,qris,semarang,naik KRL,2021-01,1.0,Saturday,True,₹3681,INR,2021,7104.33
T1420,U023,2021-01-23,expense,transportasi,2273.0,kartu,unknown,naik KRL,2021-01,1.0,Saturday,True,2273,INR,2021,4386.89
T7998,U119,2021-01-24,expense,pendidikan,7472.0,kartu,unknown,bayar UKT,2021-01,1.0,Sunday,True,7472,INR,2021,14420.96
T1178,U035,2021-01-24,income,gaji,40425.0,bank_transfer,surabaya,gaji bulanan,2021-01,1.0,Sunday,True,₹40425,INR,2021,78020.25
T7526,U054,2021-01-25,income,kesehatan,33737.0,qris,unknown,bayar rumah sakit,2021-01,1.0,Monday,False,33737,INR,2021,65112.41
T4294,U103,2021-01-25,expense,tabungan,3252.0,qris,balikpapan,tabungan masa depan,2021-01,1.0,Monday,False,₹3252,INR,2021,6276.36
T12392,U092,2021-01-25,income,investasi,45810.0,tunai,makassar,profit reksa dana,2021-01,1.0,Monday,False,₹45810,INR,2021,88413.3
T1834,U089,2021-01-25,expense,hiburan,3273.0,bank_transfer,semarang,langganan Netflix,2021-01,1.0,Monday,False,3273,INR,2021,6316.89
T11323,U141,2021-01-25,expense,makanan,58.0,kartu,semarang,makan malam,2021-01,1.0,Monday,False,58,INR,2021,111.94
T9578,U106,2021-01-26,expense,tempat_tinggal,5871.0,bank_transfer,semarang,iuran kebersihan,2021-01,1.0,Tuesday,False,5871,INR,2021,11331.03
T0154,U001,2021-01-26,expense,tempat_tinggal,679.0,bank_transfer,semarang,bayar apartemen,2021-01,1.0,Tuesday,False,679,INR,2021,1310.47
T3323,U063,2021-01-27,expense,pendidikan,8408.0,kartu,semarang,les online,2021-01,1.0,Wednesday,False,₹8408,INR,2021,16227.44
T8974,U101,2021-01-27,expense,pendidikan,6894.0,tunai,jakarta,pelatihan online,2021-01,1.0,Wednesday,False,6894,INR,2021,13305.42
T0969,U033,2021-01-27,expense,hiburan,2545.0,bank_transfer,bandung,liburan akhir pekan,2021-01,1.0,Wednesday,False,$2545,USD,2021,363935.0
T1110,U071,2021-01-28,income,gaji,75061.0,bank_transfer,surabaya,penerimaan gaji,2021-01,1.0,Thursday,False,75061,INR,2021,144867.73
T13571,U120,2021-01-28,expense,makanan,3006.0,kartu,semarang,jajan minimarket,2021-01,1.0,Thursday,False,3006,INR,2021,5801.58
T10702,U052,2021-01-28,expense,transportasi,9231.0,qris,palembang,naik gojek,2021-01,1.0,Thursday,False,₹9231,INR,2021,17815.83
T5200,U011,2021-01-29,income,freelance,59567.0,tunai,semarang,project desain,2021-01,1.0,Friday,False,59567,INR,2021,114964.31
T2864,U073,2021-01-29,expense,pendidikan,2704.0,kartu,denpasar,bayar kursus,2021-01,1.0,Friday,False,2704,INR,2021,5218.72
T3242,U127,2021-01-30,expense,tabungan,3444.0,bank_transfer,surabaya,menabung bulanan,2021-01,1.0,Saturday,True,3444,INR,2021,6646.92
T5549,U114,2021-01-30,expense,tempat_tinggal,45894.0,bank_transfer,jakarta,iuran kebersihan,2021-01,1.0,Saturday,True,45894,INR,2021,88575.42
T2911,U130,2021-01-30,expense,hiburan,4771.0,ewallet,medan,liburan akhir pekan,2021-01,1.0,Saturday,True,4771,INR,2021,9208.03
T12410,U130,2021-01-31,expense,hiburan,770.0,qris,semarang,langganan Netflix,2021-01,1.0,Sunday,True,770,INR,2021,1486.1
T10742,U109,2021-01-31,expense,tagihan,4045.0,tunai,yogyakarta,bayar BPJS,2021-01,1.0,Sunday,True,4045,INR,2021,7806.85
T4564,U149,2021-01-31,expense,makanan,3226.0,tunai,medan,makan siang,2021-01,1.0,Sunday,True,3226,INR,2021,6226.18
T8138,U065,2021-02-01,expense,makanan,7782.0,kartu,makassar,makan di restoran,2021-02,2.0,Monday,False,7782,INR,2021,15019.26
T4607,U143,2021-02-01,expense,tagihan,150.0,qris,bandung,bayar air,2021-02,2.0,Monday,False,150,INR,2021,289.5
T9367,U118,2021-02-01,income,investasi,51266.0,kartu,jakarta,profit reksa dana,2021-02,2.0,Monday,False,51266,INR,2021,98943.38
T7053,U020,2021-02-01,expense,transportasi,7062.0,tunai,surabaya,naik gojek,2021-02,2.0,Monday,False,7062,INR,2021,13629.66
T9322,U129,2021-02-02,expense,pendidikan,6905.0,qris,denpasar,les online,2021-02,2.0,Tuesday,False,6905,INR,2021,13326.65
T2440,U100,2021-02-03,expense,tagihan,5431.0,bank_transfer,denpasar,bayar WiFi,2021-02,2.0,Wednesday,False,5431,INR,2021,10481.83
T9320,U124,2021-02-03,income,gaji,30880.0,ewallet,denpasar,gaji bulanan,2021-02,2.0,Wednesday,False,₹30880,INR,2021,59598.4
T13075,U067,2021-02-03,expense,makanan,1238.0,tunai,makassar,makan siang,2021-02,2.0,Wednesday,False,1238,INR,2021,2389.34
T0119,U057,2021-02-03,income,lainnya,40149.0,bank_transfer,yogyakarta,transaksi harian,2021-02,2.0,Wednesday,False,40149,INR,2021,77487.57
T3746,U052,2021-02-03,expense,tagihan,7023.0,bank_transfer,medan,bayar BPJS,2021-02,2.0,Wednesday,False,₹7023,INR,2021,13554.39
T1776,U138,2021-02-03,expense,lainnya,4566.0,tunai,balikpapan,belanja kebutuhan,2021-02,2.0,Wednesday,False,$4566,USD,2021,652938.0
T3219,U128,2021-02-03,expense,tagihan,1095.0,tunai,bandung,bayar air,2021-02,2.0,Wednesday,False,1095,INR,2021,2113.35
T11045,U071,2021-02-03,expense,makanan,7505.0,kartu,surabaya,pesan gofood,2021-02,2.0,Wednesday,False,7505,INR,2021,14484.65
T2326,U093,2021-02-04,expense,makanan,3103.0,qris,semarang,makan malam,2021-02,2.0,Thursday,False,3103,INR,2021,5988.79
T7962,U057,2021-02-04,expense,tempat_tinggal,25973.0,kartu,denpasar,bayar apartemen,2021-02,2.0,Thursday,False,25973,INR,2021,50127.89
T12305,U128,2021-02-05,expense,hiburan,116.0,kartu,medan,liburan akhir pekan,2021-02,2.0,Friday,False,116,INR,2021,223.88
T13046,U137,2021-02-06,expense,transportasi,4885.0,kartu,palembang,naik KRL,2021-02,2.0,Saturday,True,4885,INR,2021,9428.05
T0387,U028,2021-02-06,expense,tempat_tinggal,6737.0,bank_transfer,palembang,iuran kebersihan,2021-02,2.0,Saturday,True,6737,INR,2021,13002.41
T8370,U114,2021-02-06,expense,makanan,3080.0,qris,semarang,beli air minum,2021-02,2.0,Saturday,True,3080,INR,2021,5944.4
T13918,U115,2021-02-06,expense,makanan,2220.0,tunai,surabaya,beli air minum,2021-02,2.0,Saturday,True,₹2220,INR,2021,4284.6
T10132,U119,2021-02-06,expense,tempat_tinggal,7740.0,ewallet,semarang,bayar apartemen,2021-02,2.0,Saturday,True,$7740,USD,2021,1106820.0
T1950,U041,2021-02-07,expense,tempat_tinggal,5090.0,qris,medan,bayar apartemen,2021-02,2.0,Sunday,True,5090,INR,2021,9823.7
T4093,U098,2021-02-07,expense,makanan,7894.0,tunai,surabaya,makan siang,2021-02,2.0,Sunday,True,$7894,USD,2021,1128842.0
T0075,U109,2021-02-07,expense,tempat_tinggal,2353.0,tunai,palembang,bayar apartemen,2021-02,2.0,Sunday,True,2353,INR,2021,4541.29
T3102,U135,2021-02-07,expense,tagihan,936.0,qris,unknown,bayar listrik,2021-02,2.0,Sunday,True,936,INR,2021,1806.48
T0409,U137,2021-02-08,expense,tagihan,8841.0,ewallet,jakarta,bayar internet,2021-02,2.0,Monday,False,8841,INR,2021,17063.13
T11015,U138,2021-02-08,expense,makanan,5375.0,qris,bandung,jajan minimarket,2021-02,2.0,Monday,False,5375,INR,2021,10373.75
T1010,U054,2021-02-08,expense,makanan,6592.0,ewallet,yogyakarta,beli cemilan,2021-02,2.0,Monday,False,6592,INR,2021,12722.56
T4850,U016,2021-02-09,expense,kesehatan,4687.0,tunai,yogyakarta,tes kesehatan,2021-02,2.0,Tuesday,False,4687,INR,2021,9045.91
T4721,U036,2021-02-09,expense,tagihan,749.0,tunai,makassar,bayar pulsa,2021-02,2.0,Tuesday,False,749,INR,2021,1445.57
T10939,U065,2021-02-10,expense,makanan,2464.0,tunai,semarang,beli cemilan,2021-02,2.0,Wednesday,False,2464,INR,2021,4755.52
T5013,U049,2021-02-11,expense,transportasi,5866.0,kartu,surabaya,isi bensin,2021-02,2.0,Thursday,False,₹5866,INR,2021,11321.38
T5425,U032,2021-02-11,expense,hiburan,8085.0,tunai,denpasar,streaming musik,2021-02,2.0,Thursday,False,8085,INR,2021,15604.05
T6384,U132,2021-02-12,expense,tempat_tinggal,6147.0,kartu,balikpapan,iuran kebersihan,2021-02,2.0,Friday,False,6147,INR,2021,11863.71
T0960,U096,2021-02-12,expense,pendidikan,231.0,tunai,semarang,pelatihan online,2021-02,2.0,Friday,False,231,INR,2021,445.83
T7431,U149,2021-02-12,expense,transportasi,5529.0,kartu,semarang,bayar tol,2021-02,2.0,Friday,False,$5529,USD,2021,790647.0
T11657,U131,2021-02-12,expense,tempat_tinggal,16334.0,kartu,palembang,bayar apartemen,2021-02,2.0,Friday,False,16334,INR,2021,31524.62
T6964,U111,2021-02-12,expense,pendidikan,6003.0,tunai,yogyakarta,beli buku,2021-02,2.0,Friday,False,Rs.6003,INR,2021,11585.79
T11713,U136,2021-02-12,expense,transportasi,1859.0,kartu,bandung,naik grab,2021-02,2.0,Friday,False,1859,INR,2021,3587.87
T6478,U135,2021-02-12,expense,kesehatan,3427.0,tunai,surabaya,konsultasi kesehatan,2021-02,2.0,Friday,False,3427,INR,2021,6614.11
T2387,U006,2021-02-12,income,freelance,52179.0,kartu,yogyakarta,jasa konsultasi,2021-02,2.0,Friday,False,52179,INR,2021,100705.47
T13586,U089,2021-02-12,income,investasi,33121.0,kartu,denpasar,dividen investasi,2021-02,2.0,Friday,False,33121,INR,2021,63923.53
T7587,U101,2021-02-13,expense,hiburan,4122.0,bank_transfer,medan,liburan akhir pekan,2021-02,2.0,Saturday,True,4122,INR,2021,7955.46
T11992,U004,2021-02-13,expense,transportasi,2391.0,kartu,bandung,naik gojek,2021-02,2.0,Saturday,True,2391,INR,2021,4614.63
T13339,U065,2021-02-13,expense,makanan,3400.0,tunai,makassar,sarapan,2021-02,2.0,Saturday,True,3400,INR,2021,6562.0
T1021,U117,2021-02-13,expense,tagihan,5351.0,bank_transfer,jakarta,bayar listrik,2021-02,2.0,Saturday,True,5351,INR,2021,10327.43
T11148,U085,2021-02-13,expense,hiburan,5866.0,kartu,surabaya,nonton bioskop,2021-02,2.0,Saturday,True,5866,INR,2021,11321.38
T0503,U047,2021-02-13,income,bonus,65888.0,bank_transfer,bandung,transaksi,2021-02,2.0,Saturday,True,65888,INR,2021,127163.84
T7959,U142,2021-02-14,expense,tempat_tinggal,955.0,ewallet,jakarta,bayar kos,2021-02,2.0,Sunday,True,955,INR,2021,1843.15
T7658,U095,2021-02-14,expense,makanan,1359.0,bank_transfer,makassar,makan siang,2021-02,2.0,Sunday,True,1359,INR,2021,2622.87
T8030,U136,2021-02-14,expense,tempat_tinggal,5806.0,kartu,bandung,bayar apartemen,2021-02,2.0,Sunday,True,5806,INR,2021,11205.58
T6213,U088,2021-02-14,expense,transportasi,2174.0,tunai,semarang,naik KRL,2021-02,2.0,Sunday,True,2174,INR,2021,4195.82
T5774,U005,2021-02-14,expense,makanan,7406.0,kartu,bandung,makan malam,2021-02,2.0,Sunday,True,7406,INR,2021,14293.58
T11191,U086,2021-02-14,expense,makanan,9427.0,bank_transfer,bandung,ngopi di kafe,2021-02,2.0,Sunday,True,9427,INR,2021,18194.11
T5799,U097,2021-02-14,income,gaji,76175.0,qris,palembang,bonus perusahaan,2021-02,2.0,Sunday,True,76175,INR,2021,147017.75
T12089,U086,2021-02-15,expense,tagihan,5120.0,kartu,unknown,bayar listrik,2021-02,2.0,Monday,False,5120,INR,2021,9881.6
T1839,U131,2021-02-15,expense,makanan,8737.0,kartu,semarang,ngopi di kafe,2021-02,2.0,Monday,False,8737,INR,2021,16862.41
T9319,U100,2021-02-15,income,lainnya,74183.0,bank_transfer,yogyakarta,belanja kebutuhan,2021-02,2.0,Monday,False,74183,INR,2021,143173.19
T11562,U137,2021-02-15,expense,tempat_tinggal,37834.0,kartu,yogyakarta,bayar sewa rumah,2021-02,2.0,Monday,False,37834,INR,2021,73019.62
T6190,U077,2021-02-16,expense,tagihan,3661.0,qris,yogyakarta,bayar WiFi,2021-02,2.0,Tuesday,False,3661,INR,2021,7065.73
T7309,U130,2021-02-16,expense,tempat_tinggal,4144.0,bank_transfer,palembang,bayar kontrakan,2021-02,2.0,Tuesday,False,4144,INR,2021,7997.92
T12863,U011,2021-02-16,expense,tempat_tinggal,6658.0,qris,surabaya,bayar kontrakan,2021-02,2.0,Tuesday,False,6658,INR,2021,12849.94
T7916,U087,2021-02-16,expense,makanan,2343.0,kartu,palembang,makan malam,2021-02,2.0,Tuesday,False,2343,INR,2021,4521.99
T10991,U092,2021-02-17,expense,transportasi,6534.0,bank_transfer,balikpapan,isi bensin,2021-02,2.0,Wednesday,False,6534,INR,2021,12610.62
T0663,U067,2021-02-17,expense,transportasi,8757.0,bank_transfer,yogyakarta,naik MRT,2021-02,2.0,Wednesday,False,8757,INR,2021,16901.01
T6970,U049,2021-02-17,expense,tagihan,5501.0,tunai,yogyakarta,bayar listrik,2021-02,2.0,Wednesday,False,5501,INR,2021,10616.93
T1364,U048,2021-02-17,expense,tempat_tinggal,36056.0,qris,jakarta,bayar apartemen,2021-02,2.0,Wednesday,False,36056,INR,2021,69588.08
T2219,U012,2021-02-18,income,freelance,40590.0,kartu,medan,bayaran freelance,2021-02,2.0,Thursday,False,40590,INR,2021,78338.7
T12162,U083,2021-02-18,expense,makanan,3871.0,bank_transfer,jakarta,makan siang,2021-02,2.0,Thursday,False,3871,INR,2021,7471.03
T10869,U135,2021-02-18,expense,transportasi,9142.0,bank_transfer,semarang,naik KRL,2021-02,2.0,Thursday,False,9142,INR,2021,17644.06
T6430,U046,2021-02-19,income,gaji,12836.0,kartu,bandung,gaji bulanan,2021-02,2.0,Friday,False,12836,INR,2021,24773.48
T9187,U138,2021-02-19,expense,tempat_tinggal,28832.0,tunai,surabaya,bayar kontrakan,2021-02,2.0,Friday,False,$28832,USD,2021,4122976.0
T9166,U051,2021-02-19,income,freelance,47673.0,kartu,jakarta,jasa konsultasi,2021-02,2.0,Friday,False,47673,INR,2021,92008.89
T10417,U096,2021-02-19,expense,tempat_tinggal,38346.0,qris,palembang,bayar apartemen,2021-02,2.0,Friday,False,₹38346,INR,2021,74007.78
T13284,U045,2021-02-19,expense,tempat_tinggal,28005.0,bank_transfer,balikpapan,iuran kebersihan,2021-02,2.0,Friday,False,28005,INR,2021,54049.65
T8251,U045,2021-02-20,expense,lainnya,5549.0,ewallet,balikpapan,belanja kebutuhan,2021-02,2.0,Saturday,True,5549,INR,2021,10709.57
T4543,U043,2021-02-20,expense,tagihan,8670.0,qris,denpasar,bayar pulsa,2021-02,2.0,Saturday,True,8670,INR,2021,16733.1
